userid,今日の内容で、分かったこと・できたことを書いてください,今日の内容で、分からなかったこと・できなかったことを書いてください,今日の内容を自分なりの言葉で説明してみてください,今日の授業の感想や反省を書いてください,質問があれば書いてください
C-2022-1_U34,,,データのグルーピング、予測、分類、検証について学び、どのように集めたデータを整理し、検討し、結論を導くかの大まかな流れをとらえる手順を理解する講義だった。,,
C-2022-1_U37,現在の特定型AIは、何かを考えるような知能ではない為、弱いAIとも呼ばれる。,,,,
C-2022-1_U38,,,人工知能とは、人間の知能を真似する機械のことである。現在さまざまな場面で使われているのが特化型AIである。これはルールに沿って何かの回答を出しているだけに過ぎず、人工知能としてはまだまだ未発達である。現在、更なる柔軟性、多機能性を持った汎用型AIの研究が進んでいる。人工知能は身近なところにあり、スマホ等の音声認識やチャットボット、顔認識や画像認識などに使われている。AIはビジネスとして発展してきている。機能的なAIを作り出すためには機械学習を行う必要がある。あらゆるデータを取り入れていくことで成長していくようになっている。,AIがどんどん発展していき、生活が便利になっていってほしい。,
C-2022-1_U39,,,"私たちは普段の生活でもデータ分析を行っている。卒研でもやる。データ分析には分類・グルーピングというタスクがある。グループがあらかじめ決まっていない場合は、に他グループが同じグループになるように自動的にグループを構成する（クラスタリング）。例えば成績とかだったら、文系の人、理系の人でグループ分けしたり。クラスタリングの結果から、データ全体の多様性（どれくらい種類があるのか）各クラスタの勢力、代表例を見ることで全体を概観できたりする。しかし、データが似ているとはどういうことか、何を基準ンに似ているとするのかなど、考えるべき点も多い。
AIとは人間の知能をまねする機械。今の人工知能は特定のことだけしかできない。→特化型AI　
私たち人間と同じ柔軟さと多機能性をもつ強いAI→汎用AI
Siriとかも弱いAI、チャットbot、画像認識、推薦・広告配信など
デジタルトランスフォーメーション…紙の作業がエクセルとかワードになったけど、そこからもう一歩進んでAIが自動にやってくれること
AIが自動になにかするようになるには、こういう入力に対して高出力しなさいというような例を提示してその通りに出力するようにAIを調整する（＝機械学習）必要がある。
機械学習がうまくいくためにはデータが重要。たくさんデータを提示しないと性能が出せない。かといって似たようなものばかりでもダメ。
AIとは関数y＝f(x)というようなものである。
深層ニューラルネットワークの登場…非常に膨大なデータが手に入るようになった。調整の自由度が大きくなった（パラメータが増えた）。",,
C-2022-1_U4,予測、発見、グルーピングなど、データをどうやって扱うか、またその扱い方の難しさなどを理解することができた。また、身近なAIの存在や、AIの学習方法について分かった。,,データから予測をすることはできるが、データが十分に集まらない、状況が異なる場合があるなど、様々な難しさがある。クラスタリングの結果から、データの多様性や全体の概略などを知ることができるが、何をもって似ているとするか決めることは難しい。AIに対して多くの例を示し、入力に対する出力のパターンを学習させることを機械学習という。,,
C-2022-1_U40,,クラスタリングとベクトルの関係,,,
C-2022-1_U41,,,,身近なAIについてよく知ることができたので良かった,
C-2022-1_U42,"・データを分類することをグルービングという。グループが決まっているとき、組み合わせや階層化が可能である。グループが決まっていないときは似たデータが同じグループになるようにするクラスタリングをする。ただこのクラスタリングは「どこが」「どれくらい」似ているかなど考えなければいけない点がたくさんある。
・AIとは人間の知恵を真似する機械のことである。今は特定のことしかできないAIである特化型AIが通常である。身近にあるAIにSiri、チャットボットや将棋AIが挙げられる。まだ検討中のAIに私たちの知能と同じ柔軟さと多機能性を持つ「強いAI」である汎用AIがある。AIを活用して、シェアリングエコノミー、リコメンド、サーベイランスやDXなどのビジネスがある。最近主流のAIは深層ニューラルネットワークという入力データに対してさまざまな数を「かけたり」「足したり」を繰り返して答えを出すものである。この深層ニューラルネットワークと大規模なデータ、コンピューターのパワーアップによりAIが向上する。
・「こういう入力はこういう出力」といった例をたくさん用意して、その通りに出力させて、AIを調整することを機械学習という。これにより予測、認識，分類、生成が可能になる。また例が少ないと性能を低い。",,"・グルービングとは
・AIとは
・機械学習とは",最近よくテレビでAIという単語を聞くようになりました。テレビから手に入る情報だとA Iは何でもできて私たち人間の敵になりうる存在というイメージでした。しかし汎用AIではなくただの特化型AIであれば私たちの敵にならず、むしろ私たちの生活を向上してくれる存在になるうと思いました。,
C-2022-1_U44,AIはそれぞれ特化した能力を持っている。,小テストで間違えてしまったので復習したい。,,,
C-2022-1_U45,,とくにありません,,,とくにありません
C-2022-1_U46,AIのことについて以前より理解できたと思います。,多分ありません。,"・人工知能（AI）…人間の知能を真似する機械
→特化型AI…特定の知能だけを人工的に実現したAI、特定のことしかできないAI
　→現在利用されているすべてのAIは特定型AI
→汎用AI…我々の知能と同じ柔軟さと多機能性を持つ「強いAI」
　→現在ではまだ検討段階
　→「どんなAIが強いAIなのか」も定義できていないのが実情
・機械学習…データによって関数y=f(x)のパラメーターを望ましい形にいじる方法
・深層ニュートラルネットワーク…入力データに対して、さまざまな数を掛けたり足したりすることを何度も繰り返すことで最終的な答えが出てくる
→学習によりこれらパラメーターを適切に設定する必要がある",今日の内容は覚えないといけないことが多いのでしっかり復習したいと思いました。,今のところありません。
C-2022-1_U47,小テストがよくできました。,,人工知能について,,
C-2022-1_U49,一見相関があるように見えても見かけ上相関しているだけであることがあるということ。すぐに相関があると決めつけず、その間にある要因について考察するのが大切だと思った。クラスタリングは似たデータを同じグループにする技術だがデータが似ていると判断する基準は様々あるということ。,,,データ分析と聞くとパソコンを利用し研究しているイメージだったが、利用例をいろいろ見せていただいたことで身近に感じた。,ありません
C-2022-1_U5,,,,AIでも様々なものがあり、自分が思っていたよりも広い世界なんだと知った。普段は[AI]と書かれているものを特別にAIと認識するが、もっと身の回りの多くのものにAIが使われているのだなと思った。,
C-2022-1_U50,"現在AIがどのような用途で使われているのかということ。
現代の技術では特定の機能に特化したAIしか作ることが出来ないということ。",,,,
C-2022-1_U51,表で表せる構造化データとそうでない非構造化データがある,どこまでが予測の範囲になるのかがあまりわからなかった,データには様々な種類があり、AIは覚えさせないと使えない,遅れてしまって申し訳ないです,
C-2022-1_U52,私たちは日常で気づかずデータを扱っているのだと実感しました。,,,,
C-2022-1_U53,AIが社会のなかで使われている例とその大まかな仕組みを知る事ができた。,,"AI：人間の知能を真似する機械であり、関数である。まだ万能ではない
現在使われているのは特化型AI
汎用AIはまだ検討段階",自分たちが意識している以上に日常にAIは溢れているということがわかり、その詳細について学ぶことは重要なことだと感じた。,
C-2022-1_U54,,DXがなにかわからなかったが、スライドでよく読んだらわかるようになった。,"データの分析だが、実は我々も日々行っている。その例として、予測、傾向や関連の発見、グルーピングがある。予測は、過去のデータの傾向からまだ起こっていないことについて考えられる。よって、予測モデルの選び方にも注意する必要がある。また、それぞれのモデルへの当てはめ方によっても別の予測ができる。傾向の発見とは、相関の分析である。疑似相関には気を付ける必要があり、見かけ上の相関も存在するため、騙されないようにしなくてはならない。そして相関は因果関係とは違う。グルーピングは似ているものをグループ化することであり、あらかじめ枠組みが決まっていない場合はクラスタリングという。これはさまざまな分野において可能であり、非常に便利である。しかし、何を似ているとするかによって結果は変わり、絶対的な答えは存在しない。

人工知能とは、人間の知能を真似する機械である。我々の知能はさまざまなことを同時におこなっており、まだ人工知能にこれらを全て行うのは難しい。よって、特定の知能だけに特化した特化型AIが現在は開発されている。しかし、特化型AIは何かを考えているのではなく、ルールブックに当てはめてあたかも考えているように見せているだけである。よって、弱いAIとも呼ばれる。これと異なり、まだ開発中ではあるが、汎用AIという我々の知能と同じ機能を果たす強いAIもある。身近なAIとして、Siri、チャットボット、顔認識、画像認識、医療診断、推薦、広告配信、IBM Watson、コンピュータ将棋、Alpha Go、東ロボくんなどがある。AIを実際に活用したビジネスの例として、シェアリングエコノミー、商品の推薦、顧客監視、DXなどがある。これらのコンピュータも学習なしでは賢くなれない。AIは我々の学習のように、これまでの経験から始めてみるものに対して答えると言った形で、学習をしなくてはならない。機械学習によって、予測や認識、分類、生成などができる。データが少ないとこれらの機能は発揮できず、また、データが似ている場合も同じことが言える。AIは関数であり、１つの問題に一つの答えが対応している。最近の主流は、深層ニューラルネットワークである。AIの性能はこれらによって最近非常に飛躍している。これらをオープン戦略というものを使ってさらに加速させられる。しかし、今のAIはまだかんぜんではない。習っていないものには対応できず、全てのことを考えきれない。また、特定のことしか考えがおよばない。そして、判断根拠が不明である。",AIが実際にどれほど役に立っているか、そして、その欠点なども詳しく知れてよかった。,
C-2022-1_U56,,,"データ分析において、分析対象が多すぎる場合やデータ全体の状況把握を行うためにグルーピングを行う。グルーピングにはグループが予め決まっている場合と決まっていない場合（クラスタリング）があり、分析対象や分析したい内容によって使い分けられる。クラスタリングにおいて、クラスタの数からデータ全体の多様性や勢力、全体の外観の把握が可能であるが、似ているデータをクラスタリングする段階において似ている具合に絶対的な正解は存在せず、結果もさまざまである。
人工知能（AI）には特化型AI、汎用型AIのに種類があり、現在活躍しているには特化型である。人工知能は現在チャット、画像認識、診断、広告、ゲームなどさまざまな分野で活躍している。",グルーピングがグループの分け方によって分析の結果がどのように変化するのか実際に調べてみたいと思った。また、Aiが向上した理由に興味を持ったが、検索のおすすめが自分の好きなものが並ぶように少し怖いと感じる時もあるのでうまくデータやAIと付き合っていきたいと考えた。,
C-2022-1_U58,,予習があまりできなかった。,"　人工知能は人間の知能を真似する機械である。我々の知能は様々なことを行っており、1つのAIにそれらの機能をすべて持たせることは難しい。
　特化型AIとは特定の知能だけを人工的に実現したAIであり、現在利用されているすべてのAIは特化型AIである。現在の特化型AIの形式は物事を理解して回答しているわけではなく、ルールブックに従って回答しているだけであるため、「何かを考える」ような知能ではない。そのため、「弱いAI」とも呼ばれている。
　汎用AIとは我々の知能と同じ柔軟さと多機能性を持つ「強いAI」である。現状ではまだ検討段階であり、「どんなAIが強いAIなのか」も定義できていないのが実情である。実現するための1つの方法に「全脳シュミレーション」がある。これは脳を構成する神経細胞（ニューロン）の個々の動きを再現し、それら神経細胞（ニューロン）を繋げて脳全体を再現するものである。
　すでに使われている・使われつつある人工知能としては、音声認識・対話AI、チャットボット、顔認識、画像認識、医療診断、推薦・広告配信などがある。
　また、ゲームと人工知能の関わりでは、""IBM Watson""、コンピュータ将棋、AlphaGo（囲碁）などがある。
　さらに、ロボットは東大に入れるか、という問いで模試を受けているものもある。
　AIを活用したビジネスとしては、シェアリングエコノミー、商品の推薦（リコメンド）、顧客監視（サーベイランス）、デジタルトランスフォーメーション（DX）
　機械学習とはコンピュータ（AI）による学習であり、我々の学習と同じようなものである。AIは最初から賢いわけではなく、「例」をたくさん用意しその通り出力するようにAIを調整する必要がある。これを（教師あり）学習といい、十分な例でAIを学習できれば「（学習に使っていない）初めて見る入力にも正しい出力を返すことができる」。これが利点である。機械学習によって可能になることの例としては予測、認識・分類、生成が挙げられる。
　機械学習する上でデータが十分にないと学習しても性能が出せない。また、たくさんあっても似たようなものばかりでは不十分である。
　AIとは関数である。したがって、機械学習とは、データによって関数を望ましい形に「いじる」方法ということである。
　最近のAIの正体は深層ネットワークである。これは最近主流のAIであり、「深層学習」によって非常に高性能なAIを実現することが可能である。
　今のAIは全く万能ではなくできないことがある。例えば、敵対的事例、フレーム問題、判断根拠が不明確などの問題点が挙げられる。",日誌を書くのが遅くなった。,
C-2022-1_U59,,,,今日も比較的に内容を理解できた。ただし、予習を忘れていたので次回は予習をしたい,
C-2022-1_U6,,なぜ関数で画像が何であると判断できるのか、少し不思議に思ったが、画像もデータの一種なので01に変換され関数かできるのだと思われる。,,,
C-2022-1_U61,量的データ（比率データ、感覚データ）、質的データ（順位データ、カテゴリデータ）の分類がある,,,朝見た、天気予報氏の密着も踏まえて、予測はデータの取り扱いの中でも可能性の低いものに感じた。これからその可能性を引き上げる研究がなされることを願う。,
C-2022-1_U62,,今現在AIの技術はどこまで進歩しているのかということ,,,AIは完璧ではないのになぜ将来今ある仕事の50％がAIに奪われるという予測がされているのか
C-2022-1_U63,AIには特化型AIと汎用型AIがあって、今現在多く使われているのは特化型AIで、ドラえもんのような汎用型AIはまだ検討段階である。AIがいろいろなことをできるようになるには、学習が必要になるので、そこは人間と似ている部分である。,,,特化型AIは特定の範囲のことしか考えられないので、平気で危険なことをしでかすかもしれないことがわかった。AIが人間の知能を超えた時、我々を滅ぼすかもしれないという話を聞いたことがあるが、超えなくても十分恐ろしいような気がする。,
C-2022-1_U64,,,人工知能（AI）の機械学習について、データのグルーピング,,
C-2022-1_U65,"データを扱う際、そのまま扱うのではなく、グルーピングすることで作業効率が上がり様々なメリットをもたらすということを学んだ。
AIについても普段あまり意識していない特化型AIと汎用AIの違いについて理解し、特化型AIの学習方法とその弱点について理解することができた。",深層学習について仕組みがよくわからないところがあったので、自分で調べて理解を深めようと思う。,"データ分析の基本として、データ全体の状況を把握するためのグルーピングというものがある。グルーピングには、グループがあらかじめ決まっているものと、決まっていないものがあり、決まっていないものはクラスタリングという手法でグループを構成する。似たデータが同じグループになるように自動的にグループを構成するが、その「似ている」という具合の測り方は完全に決まっているわけではない。
人工知能（AI）には、特化型AIと汎用AIというものがある。
特化型AI、現在利用されているAIは全てこれなのだが、これは特定の知能のみを人工的に実現したAIである。つまり、特定のことしかできない。特化型AIはもともと作られてあるルーブリックに従って働くため、何かを自ら考えて動いているわけではない。
汎用AIとは、我々の脳と同じように柔軟さと多様性を持つAIのことである。まだ検討段階であるのが現実である。
また、このようなAI（特化型AI）を用いたビジネスとして、タクシーの相乗りなどのシェアリングエコノミー、通販サイトでの商品のレコメンド、監視カメラシステムによる顧客監視や組織の効率化を図るデジタルトランスフォーメーションなどがある。
人工知能の作り方として、何度も反復して練習させる機械学習というものがある。その中にも、予測、分類・認識、生成などということができるようになる。最近では、大量のデータと学習によって非常に高性能なAIが作れるようになった。これを深層ニューラルネットワークを用いた深層学習という。AIの質が向上した理由はこの他にも、大規模なデータの入手、コンピュータの性能の向上などが挙げられる。だが特化型AIはもちろん万全というわけではなく、ノイズを加えると反応できなくなる等の、習っていないものに対しては融通が利かないというデメリットがある。また、特定のことしか「考えが及ばない」フレーム問題も抱えている。",,
C-2022-1_U67,現在のAIは機械学習もするし、深層ニュートラルネットワークにもつながっているから、とても発達したが、まだまだ課題もあるということ。,いつになったらAIが人間を超す日が来るのか考えられませんでした。,AI、人間の知能をマネする機械について。現在のすべてのAIは特化型AI。,AIはある特定の分野では人間より勝っているかもしれないけれど、やっぱりそのAIをプログラミングしているのは人間だから、まだまだ人間のほうがすごいなと思いました。でも、いつかAIによって人間が支配されてしまう日が来るかもしれないと想像すると、少し恐怖をおぼえます。,特にありません。
C-2022-1_U68,データをいくつかのグループに分けることをグルーピングといい、似たデータが同じグループになるようにすることで自動的にグループを構成することをクラスタリングという。人間の知能を真似する機械をAIといい、特定の知能だけを人工的に実現したAIを特化型AIという。,,,,
C-2022-1_U69,自分が思っていたよりさまざまなところでAIが活用されていることに気付けた。また、AIがどのようなことに利用できるのか、どうやって学習するのか、さらにその欠点について理解できた。,,"クラスタリングができればデータの多様性や勢力、全体の概観などが分かるが、実際にクラスタリングを行う方法は多種多様であり、絶対的な正解は存在しない。
現在利用されているすべてのAIは特定の知能だけを人工的に実現した特化型AIである。しかし、これらはルールブックに従って解答を出しているだけで、知能と呼べるかどうかは疑問である。私たちのそばにはすでにたくさんのAIが溢れており、AIは人を雇うより安価に仕事をしてくれるためさまざまな分野で活躍し、その技術は年々進化している。AIに見たことないものや未来を予測させるために、たくさんかつバリエーション豊かなデータを与えて学習させ、正しい答えを出せる関数（深層ニュートラルネットワーク）を作り出させることを機械学習という。しかし現在のAIは全く万能ではなく、まだまだ融通が利きづらい点も多くある。",AIが人間の仕事を奪うという話をよく耳にするためAIにあまりいいイメージを持っていなかったが、ノイズが加わると文字が読めなくなったり爆弾を運んできたりするという話を聞いて、まだまだ私たち人間も負けてないなという安心感と少しの親近感を感じた。しかしAIがさらに発展すれば私たちの生活はより便利になると共に、新たな問題も発生しかねないため、将来うまく付き合っていかなくてはならないと思った。,
C-2022-1_U7,AIの技術の発展や、それに伴う問題点を知ることができました。,AIのビジネスがいろいろあり、まだ理解できませんでした。,いま必要な「データ分析」について。なぜ必要かというと、データ分析をすることによって　①予測　②発見　③分類・グルーピング　ができるから。グループが決まっていない場合、クラスタリングを行う。AIについて。現在は特定の能力を持つ特化型AIがほぼだが、これは弱いAIである。機械学習を行い、データによって関数を望ましい形にいじっている。深層ニューラルネットワークとは、最近主流のAIで、様々な課題に利用されている。しかし、問題もあり、敵対的事例、フレーム問題、判断根拠が不明瞭なことがあげられる。,AIはすべて何でもできるわけではないんだと思いました。機械学習をすることで、囲碁や将棋などで人間に勝てるようにはなりましたが、まだまだ人間の知能には勝っていないんだなと思いました。,
C-2022-1_U70,,,今日はデータの分析の基本であるグルーピングと、人工知能（AI）全般の概要を学習した。グルーピングというのはある基準に従って対象集団を分類することで、基準が元々ない場合は似通った特徴を持つ事例をまとめてクラスリングを行う。クラスリングの際には自分で似通った特徴を設定するためその基準は曖昧で振り幅が大きい。AIとは人間の知能を真似する機械のことで、特定型と汎用型がある。現在利用されているAIの全ては特化型AIであり特定型AIは独立した特定の知能しか持たない。一方汎用型は人間の脳神経全体を真似たもので実用化はされていない。AIは非常に身近な場面で数多く利用されており効率的な宣伝広告や情報処理に役立っている。AIの性能向上には機械学習が不可欠であり多くの豊富なデータを利用して精度を上げることができる。とはいえどんなにデータを与えても依然として欠陥はあり、例えば敵対的事例やフレーム問題など柔軟で即興的な処理対応は苦手である。,,
C-2022-1_U72,どんなに良いデータがあっても適切な分析方法を用いなければ、意味のあるデータは抽出できないということ。,,,,
C-2022-1_U73,,特にありません,,AIがいつか人間を支配するというような話をよく聞くが、まだまだ汎用性AIはできていないし、所詮AIを操ったり開発しているのは人間なので支配されることはないのではと思った。高精度すぎるAIによる詐欺や犯罪が増えそうで、そのように悪用されるのを防止する方法はあるのかなと思った。事務的な作業をAIに任せたりしてうまくバランスを取るのがいい利用方法だと思う。,ありません
C-2022-1_U74,解析、と聞くと専門的な感じがするけれど、思わぬところで無意識にみんなやっている。過去のデータから未来を予測したり、傾向や法則、関連性を探す、分類やグルーピングをする。,,,身近なことにあてはめられていて分かりやすかった。,
C-2022-1_U75,言葉の意味が分かった。また、データの主なタスクについて詳しいことが分かった。,相関と因果関係の違いなど、勘違いしてしまいそうな内容もあったので気をつけたいです。,データとは、コンピューターで、プログラムを使った処理の対象となる記号化・数字化された資料のことである。データ分析の主なタスクは、予測・発見・分類である。このとき、相関と因果関係は違うことに気をつけなければならない。また、人工知能は人間の知能を真似する機会である。,,
C-2022-1_U76,"AIについては知っていることもあったので、それを再確認できた。
",,データの解析やAIの仕組み、現状について,,
C-2022-1_U77,,特にありません。,,,
C-2022-1_U78,AIも人間と同じように、意味のある学習を繰り返さないと使い物にならないことが分かった。,,AIは人工知能であるが、特化型AIは何かを思考しているわけではなく、関数の処理をしているだけである。現在AIはインターネット上のいたるところで利用されている。AIは大量のデータがあってはじめて使い物になる。汎用AIはまだまだ研究途上である。,AIの進化は著しいので、シンギュラリティがいつか来るかもしれないが、現在利用されている特定型AIの進化だけではそれは起こり得ないということが分かり、まだまだ先の話だと思った。,
C-2022-1_U80,AIの技術が思ったより進んでいて将来が楽しみになった。,,,,
C-2022-1_U81,身近なところで生かされているデータ,,データ、身の回りのAI,身の回りにあふれているデータやAIについて改めて知れた。,
C-2022-1_U83,グループがあらかじめ決まっていないときに似たデータを同じグループに分類することで自動的にグループを形成することをグルーピングといい、一つの塊をクラスタリングという。また、すべてのクラスターの代表例を見ると全体を概観することができる。,深層ニュートラルネットワークがどのようなものなのか自分ではよくわからなかった。,データの分類の方法とAIとAIの活用法,AIは全知全能であると思っていたが、現在の世の中のAIは特化型AIであり、また機械学習が必要であるということを知って面白いなと思った。,
C-2022-1_U85,,"フレーム問題
",,身近にあるAIがすごいものだと思っていたが、全く万能ではなくて、欠点があることを知り驚いた。もっと周りにある人工知能を観察していきたい。,
C-2022-1_U86,様々なことがデータ化されている。,,,,
C-2022-1_U87,自分が今回の授業で一番興味深かったのは将棋や囲碁などでAIが日本で一番強い部類の人たちを倒すといったことです。AIも人間同様に学ぶということを知ったが、学習能力の差があるんだなぁーっと思いました。,AIが解いたセンター試験の得点をみたのですが、自分は案外英語が一番単語とか調べれて楽なのかなぁと思っていたのですが意外にも低くて驚き、疑問に思いました。,,今日は人工知能というテーマだったので自分も日常生活と関連があるのですんなりまなべることができた。,
C-2022-1_U89,データ分析や人工知能、機械学習の基礎について知ることができた。データや人工知能・AIといった言葉はテレビのニュースなどでも常日頃から聞いている言葉でしたが、今回でその言葉の本来の意味やその内容についてさらにくわしく知ることができました。AIは日常的なところに思ったよりも多く存在していることも知りました。,今まであまり意識していませんでしたが、深層学習と機械学習の言葉や違いについてあまりわからなくて、少し気になりました。,,,
C-2022-1_U9,,,"AIや機械学習について
",AIが人間を使う未来は来ないで欲しいなと思った。,
C-2022-1_U90,現在使われているAIは全て特定型A Iであるが、その能力をうまく利用している。,,,私が中学生の時に受けた情報の授業では習わなかったAIなどの情報技術をたくさん知った。本当に今、‘熱い’分野なのだと思った。,
C-2022-1_U91,AIも人間のように学習している,,AIは企業のマーケティングや将棋ロボのような娯楽など幅広く活用されている,AIの発展には目が離せない,人間に将棋等で勝てるAIが偏差値が人間的なのに疑問を感じた
C-2022-1_U92,AIは何があるのか理解することが苦手。,,データには大きく分けて４つの種類がある。,今回も内容がよく理解できた。,
C-2022-1_U93,,,現代の技術でもAで人間の脳を再現するのは難しい,,
C-2022-1_U94,特化型AIが弱いのは、名前によらず意外だった。,,AIのなかでもたくさんのAIがある。特化型AIや凡庸型AIだ。,AIを使ったビジネスは、とてもなっとくした。先人は、頭がいいなと感心した。,
C-2022-1_U95,AIの仕組みとそのメリットでめりっとについて知れた,,AIについて,,
D-2020_U1,,,離散時間システムによるインパルス応答およびそのZ変換と入出力の関係を表す伝達関数について。,伝達関数や差分方程式の導出はその離散時間システムの性質を表す重要な要素なのでしっかり復習して身に着けていきたい。,
D-2020_U11,,,,相変わらずやることが多くてきつい,
D-2020_U13,,,差分方程式について学んだ,,
D-2020_U14,大体の内容はわかった,,離散時間システムについてインパルス応答から畳み込み、伝達関数と差分方程式,,
D-2020_U16,離散畳み込み和、差分方程式,,,,
D-2020_U18,,特にありませんでした。,,2年次からよくでてきていたインパルス応答のきちんとした意味があいまいだったため、今日理解することができてよかった。,
D-2020_U19,2年後期の制御工学1に重なる部分が多かったので復習感覚で受講できました。,"差分方程式は制御工学で扱わなかったのでまだ慣れません
",,,
D-2020_U2,差分方程式の解き方を理解できた。,特にありません。,,,
D-2020_U25,伝達関数,,,他の授業でやったことについて、納得できた,
D-2020_U28,,,,例がわかりやすくて理解が深まりました。,
D-2020_U29,,,,段々と、システムの話になっていって、応用的な内容が多くなってきている。今までよりもさらに実用的な内容が学べるかもしれない。,
D-2020_U31,離散線形システムの性質。インパルス応答の求め方。,,"離散時間システムは線形性と時普遍性を持つ。
伝達関数は差分方程式から求められ、伝達関数を逆z変換するとインパルス関数が求められる。",本格的に信号処理の分野になってきたので、復讐を怠らず、進めていきたい。,
D-2020_U34,,,Meta ボードの使い方,,
D-2020_U35,,,離散時間システムの解析,,
D-2020_U36,,,"離散時間システムでは、離散時間信号を入出力とする。離散時間システムのインパルス応答を調べることにより、全ての入力に対しての出力を計算することが出来る。
また、インパルス応答のZ変換を伝達関数といい、出力のZ変換を入力のZ変換で割ることにより導出できる。",,
D-2020_U38,差分方程式の用い方をある程度理解しました。,,"・リアルタイムツールの使い方
・離散時間システムには線形性、時不変性2つの性質がある。
・入力x(n)に対するインパルス応答y(n)を与える関数を伝達関数という。
・現在の出力は、差分方程式によって解ける。","リアルタイムツールが使われることとなったので、今後しっかりと授業を受けないといけないな、と感じました。
あと、課題の提出が以前よりも早まっていたので今回は遅れてしまったが、次回から課題の提出を早めにしておきたい。",
D-2020_U39,伝達関数においてインパルス応答やｚ変換を用いることが分かった。,,,,
D-2020_U40,離散時間システムにおける線形時不変システムの理解,,,,
D-2020_U41,,,,本格的になってきてワクワクしている,
D-2020_U43,,,,新しいツールの活用をもっとすればよかった。,
D-2020_U45,"入出力関係の具体的な計算方法
実際の計算",,"離散時間信号の入出力関係は伝達関数を用いる
伝達関数はZ変換で求めることができる",ラプラス変換との関係はどうなってるのか気になった,
D-2020_U47,"畳み込みの具体的な使用法
",,離散時間システムによる信号の伝わり方をある程度理解できた,,
D-2020_U48,離散時間システムについて、線形時不変システムだと色々便利なことや、インパルス応答や差分方程式で簡単に表せることなどを学ぶことができた.,なぜ線形時不変システムは差分方程式の形で表すことができるのかが良く分からなかった.,離散時間システムについての色々（インパルス応答、離散畳み込み和、伝達関数、差分方程式、、、etc.）,疲れてて授業を集中して聞けなかったので、次からはしっかり寝て疲れを取ってから授業に臨みたい,
D-2020_U49,差分方程式から伝達関数、インパルス応答を求めることができた,,線形時不変システム、差分方程式について学習した。,,
D-2020_U5,畳み込み積分や伝達関数、差分方程式を用いて表せる。,,,,
D-2020_U50,差分方程式と推移定理を活用して伝達関数を求める。,,,MetaBoardはなんとなく使っていて楽しい感じがする。,
D-2020_U52,インパルス応答の定義や離散畳込み和の計算方法。,,離散時間システム、線形時不変システム、差分方程式について学んだ。,差分方程式は初めて聞く内容だったが概要はなんとなくつかめた。また演習問題を通して細かい計算を確認していきたい。,
D-2020_U53,,,,復習、予習頑張る,
D-2020_U55,"インパルス応答の求め方
伝達関数からの求め方",,"伝達関数
インパルス応答について",,
D-2020_U62,離散時間システムには線形システムと時不変システムがあり、その性質を二つ兼ね備えた線形時不変システムがあること。伝達関数を用いて差分方程式を解くことで、線形時不変システムの出力を求めることができること。,,,ディジタル信号処理も応用の内容に入ってきており、過去の内容の理解がとても重要だと感じた。実際、今回の授業で、Z変換対を覚えておらず、式の変形をスムーズに理解することができなかった。そのため、過去のスライドを見直して復習することで、今後の理解を深めていきたいと思う。,
D-2020_U64,離散時間システムをどのように構成すれば良いのかが分かった。,,離散時間システムは可算器、乗算器、遅延器の３つから構成される。,離散時間システムはディジタル信号処理において、とても重要だと思った。,
D-2020_U66,インパルス応答を導き出す。,,,部分分数分解で処理できるため予想より簡単だった。,
D-2020_U7,周波数特性は主として振幅特性と位相特性で示すことができることを具体的な例題を通して確認した。,,,,
D-2020_U9,"差分方程式から伝達関数、インパルス関数を求める方法が少し分かった。
入力とインパルス応答から出力を求める方法が分かった。",,,,
D-2021_U1,今までの理解をmapの形でまとめることで、それぞれの項目の相関関係や大まかな内容が振り返りやすくなった。,これまで以上に深い理解に落とし込むことはできなかったと思う。,今までの授業を振り返り、mapの形で表し、lgcに文章でまとめた。,今日のようなやり方をもっとうまく使って、より深く理解して、応用に備えたいと思った。,
D-2021_U100,,,BR-MAPを作成した。図書館LGCの記事を投稿した。,,
D-2021_U101,今までの内容が全て繋がった．,,,,
D-2021_U102,今までの知識を整理できた,,知識マップの作成と図書館LGCの作成,今までの習ったことの知識を結びつけて理解できたので良かった,
D-2021_U103,伝達関数からそのシステムの構成を確認できることが分かった。,"周波数特性のプロットに関し概形がすぐ浮かばなかったので見直したい
",,離散時間システムの構成とその特性解析について学び、理解できたが周波数特性のプロットに関し概形がすぐ浮かばなかったので見直したい,
D-2021_U15,これまでの授業を振り返り、関連する内容を視覚的に表現することができた,,,知識マップの作成によってこれまでの授業の総復習と関連付けが強化できたと思う,
D-2021_U16,各回で学んだ内容を全体的につなげて理解できた。,,,複数の知識をまとめることで一連の流れとして捉えることができた。,
D-2021_U17,知識マップの作成が途中までできた。,,知識マップの作成と図書館LGCの投稿,,
D-2021_U18,,,これまでに学習したワードの関係性を相関図で表す,,
D-2021_U19,,,,整理できた,
D-2021_U20,回を超えた内容のつながり,,,,
D-2021_U21,,,これまでの振り返り,これまでの内容を整理することができた。,
D-2021_U22,"学習した事項について,キーワード同士の関連を確認することができ,より理解を深めることができた.",,"今までの授業の内容について,知識マップの作成と,図書館LGCへの記事の投稿を行った.",,
